poolID,liquidity,liquidity24hChange,asset0Symbol,asset0Denom,asset0Amount,asset0gecko,asset1Symbol,asset1Denom,asset1Amount,asset1gecko,volume24h,volume7d,fee
616,42837.36870648047,-3.032235930787215,ATOM,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,1870.954409,cosmos,LUM,ibc/8A34AF0C1943FD0DFCDE9ADBF0B2C9959C45E87E6088EA2FC6ADACD59261B8A2,54107166.695289,lum-network,35.90386538559983,851.4887290381401,0.3%
617,45015.60139655511,-4.4398701696411536,ATOM,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,1968.681814,cosmos,CHEQ,ibc/7A08C6F11EF0F59EB841B9F788A87EC9F2361C7D9703157EC13D940DC53031FA,244758.175230752,cheqd-network,871.2869361180475,8897.567316732951,0.2%
618,35456.49298563576,12.714354640636035,ATOM,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,1542.844666,cosmos,DSM,ibc/EA4C0A9F72E2CEDF10D0E7A9A6A22954DB3444910DB5BE980DF59B05A46DAD1C,789562.493254,desmos,2237.9928686152866,2698.400904353971,0.3%
619,57718.03513022108,11.877099007871244,DSM,ibc/EA4C0A9F72E2CEDF10D0E7A9A6A22954DB3444910DB5BE980DF59B05A46DAD1C,1281339.025368,desmos,OSMO,uosmo,22075.393611,osmosis,5381.339939841184,13401.09701051529,0.2%
621,12641.114594426908,-4.898763783739661,DIG,ibc/307E5C96C8F60D1CBEE269A9A86C0834E1DB06F2B3788AE4F716EDB97A48B97D,29727492.434281,dig-chain,OSMO,uosmo,4834.841968,osmosis,91.27294634377387,809.0618019923796,0.3%
625,44032.071212923474,-3.6314190503173283,GRAV,ibc/E97634A40119F1898989C2A23224ED83FDD0A57EA46B3A094E287288D1672B44,8461102.486705,graviton,OSMO,uosmo,16840.928148,osmosis,504.2120251105463,18936.568585723882,0.2%
626,101359.19773431937,-2.5227184028297964,BAND,ibc/F867AE2112EFE646EC71A25CD2DFABB8927126AC1E19F1BBF0FF693A4ECA05DE,24468.320011,band-protocol,OSMO,uosmo,38766.810986,osmosis,3522.45519736548,86587.28248833194,0.2%
627,99072.39150381603,-4.597355456066009,SOMM,ibc/9BBA9A1C257E971E38C1422780CE6F0B0686F0A3085E2D61118D904BFE0F5F5E,280545.598314,sommelier,OSMO,uosmo,37885.444477,osmosis,3978.9000050475247,29507.39473882889,0.2%
629,26045.46492008781,3.193959851464144,ROWAN,ibc/8318FD63C42203D16DDCAF49FE10E8590669B3219A3E87676AC9DA50722687FB,117433157.65036048,sifchain,OSMO,uosmo,9941.406407,osmosis,7258.310127892896,54781.00741130464,0.3%
631,23695.726185122912,-0.4735989592802972,NETA,ibc/297C64CC42B5A8D8F82FE2EBE208A6FE8F94B86037FA28C4529A23701C228F7A,1133.270056,neta,OSMO,uosmo,3625.157889,osmosis,3796.7735513687767,9049.879724866794,0.3%
633,6269.724557716701,-1.8115503871724374,USDC.grv,ibc/9F9B07EF9AD291167CF5700628145DE1DEB777C2CFC7907553B24446515F6D0E,3121.695331,usd-coin,OSMO,uosmo,2397.978988,osmosis,25.58891417669229,446.7657109743657,0.2%
634,5074.015263976455,-3.539854654758838,WETH.grv,ibc/65381C5F3FD21442283D56925E62EA524DED8B6927F0FF94E21E0020954C40B5,0.7432388452087498,ethereum,OSMO,uosmo,1940.656565,osmosis,0.46202561587736624,44.062232477608234,0.2%
637,15051.430943938001,-3.7537695151616584,DARC,ibc/346786EA82F41FE55FAD14BF69AD8BA9B36985406E43F3CB23E6C45A285A9593,6907051.962607,darcmatter-coin,OSMO,uosmo,5756.714657,osmosis,0,366.47614464278496,0.2%
638,6072.480423861385,-3.0620035537824735,ATOM,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,265.655658,cosmos,DARC,ibc/346786EA82F41FE55FAD14BF69AD8BA9B36985406E43F3CB23E6C45A285A9593,2780319.138607,darcmatter-coin,0.7090198462747033,59.37415314067664,0.3%
641,52391.02468723255,-3.7427707941694184,UMEE,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,6095734.419701,umee,OSMO,uosmo,20037.973894,osmosis,3481.804040921188,27611.243039911038,0.2%
643,19381.92889092768,-3.097202310108884,ATOM,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,845.5833,cosmos,UMEE,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,2256188.670571,umee,50.64832293267344,1139.107325677237,0.3%
644,45386.38369522105,-6.27769243796235,DEC,ibc/9BCB27203424535B6230D594553F1659C77EC173E36D9CF4759E7186EE747E84,2414647.681569,decentr,OSMO,uosmo,17358.911702,osmosis,1792.8673572134858,31505.389749746646,0.2%
648,85603.0423081915,8.357511517896086,PSTAKE,ibc/8061A06D3BD4D52C4A28FFECF7150D370393AF0BA661C3776C54FF32836C3961,290217.1975524541,pstake-finance,OSMO,uosmo,32740.558394,osmosis,46565.712502705974,134702.65771701623,0.2%
651,55533.80616244528,-3.1464909092859448,SWTH,ibc/8FEFAE6AECF6E2A255585617F781F35A8D5709A545A804482A261C0C9548A9D3,3154720.69285741,switcheo,OSMO,uosmo,21239.992243,osmosis,8014.047412362033,51997.54383268017,0.2%
662,32135.093386375345,1.5633834331240815,CRBRUS,ibc/41999DF04D9441DAC0DF5D8291DF4333FBCBA810FFD63FDCE34FDF41EF37B6F7,1012095612.921713,cerberus-2,OSMO,uosmo,12290.696295,osmosis,4468.541033707632,15012.708011066003,0.1%
670,4302.58425199812,-1.1352794200856724,ATOM,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,187.48951,cosmos,USDC.grv,ibc/9F9B07EF9AD291167CF5700628145DE1DEB777C2CFC7907553B24446515F6D0E,2145.810784,usd-coin,131.85990272932187,543.6511156828556,0.1%
674,167568.87532077823,-3.6852523570114704,DAI,ibc/0CD3A0285E1341859B5E86B6AB7682F023D03E97607CCC1DC95706411D866DF7,84035.92991447917,dai,OSMO,uosmo,64089.996778,osmosis,5323.914048793585,78623.91954379661,0.2%
678,1848944.9264651178,-2.056054907176545,USDC.axl,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,925156.997789,usd-coin,OSMO,uosmo,706643.474148,osmosis,356094.9103932256,3948123.6742798546,0.2%
679,17390.84966080673,-0.2927379077304255,FRAX,ibc/0E43EDE2E2A3AFA36D0CD38BDDC0B49FECA64FA426A82E102F304E430ECF46EE,4379.491302733954,frax,USDT.axl,ibc/8242AD24008032E457D2E12D46588FD39FB54FB29680C6C7663D296B383C37C4,4345.737273,tether,313.1038078299738,5632.49547888205,0.04%
681,1677872.1045910863,-4.542993262904316,FET,ibc/5D1F516200EE8C6B2354102143B78A2DEDA25EDE771AC0F8DC3C1837C8FD4447,330893.07608083566,fetch-ai,OSMO,uosmo,639602.156525,osmosis,196628.87632769937,2496186.3865133277,0.3%
686,87487.7649331,-4.489593643513163,ATOM,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,3816.313389,cosmos,MNTL,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,17019832.138169,assetmantle,2539.6402173475285,43096.75904978542,0.2%
690,9864.128693595143,-5.1032298568095795,MNTL,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,1917762.353293,assetmantle,OSMO,uosmo,3772.729248,osmosis,319.572033931623,3892.6868870612457,0.2%
693,20397.81110644046,14.863806433366126,HASH,ibc/CE5BFF1D9BADA03BB5CCA5F56939392A761B53A10FBD03B37506669C3218D3B2,439653.858973685,provenance-blockchain,OSMO,uosmo,7801.542442,osmosis,40696.027129145376,209469.59786297093,0.3%
695,14509.311677661955,-3.82603824477883,DHK,ibc/52E12CF5CA2BB903D84F5298B4BFD725D66CAB95E09AA4FC75B2904CA5485FEB,143924,,OSMO,uosmo,11098.741033,osmosis,0,0.28519911912627,0.2%
701,7644.536252059576,-8.256248595528813,MEME,ibc/67C89B8B0A70C08F093C909A4DD996DD10E0494C87E28FD9A551697BF173D4CA,93937967.118589,,OSMO,uosmo,2924.316776,osmosis,2018.3136380235062,14945.113454657927,0.2%
704,2489379.4254417024,-3.872141098028147,ETH,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,364.59551140584006,ethereum,OSMO,uosmo,952111.928525,osmosis,101909.88969458979,858814.6001360852,0.2%
706,3320.4760640752384,-0.41745139218229804,EEUR,ibc/5973C068568365FFF40DEDCF1A1CB7582B6116B731CD31A12231AE25E20B871F,1625.83054,e-money-eur,USDC.axl,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,1657.685391,usd-coin,15.832667128492849,149.4543320310596,0.2%
712,2545685.0620632838,-4.0219544585280715,WBTC.axl,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,19.69726556,wrapped-bitcoin,OSMO,uosmo,973647.126858,osmosis,53318.51857272727,650121.2134446123,0.2%
718,7599.077820667879,-3.8260382447788275,JOE,ibc/0CB9DB3441D0D50F35699DEE22B9C965487E83FB2D9F483D1CC5CA34E856C484,351210.034138,,OSMO,uosmo,2906.416191,osmosis,0,126.31510713813636,0.3%
